date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-01-28,1361.36,1220.48,1241.51,1035138.63,1368788914.36,1330.78,direct,
2021-01-29,1442.14,1287.5,1330.78,1622581.39,2215293756.32,1379.13,direct,
2021-01-30,1406.51,1326.9,1379.13,585864.43,798440634.01,1379.35,direct,
2021-01-31,1381.53,1283.77,1379.35,492089.73,653725686.92,1314.18,direct,
2021-02-01,1377.77,1271.68,1314.18,585469.21,774664819.38,1374.57,direct,
2021-02-02,1549.2,1361.84,1374.57,1325932.08,1932069095.73,1513.9,direct,
2021-02-03,1670.87,1510.16,1513.9,1156693.15,1832159523.59,1667.22,direct,
2021-02-04,1697.97,1558.06,1667.22,1172256.64,1921213581.05,1597.44,direct,
2021-02-05,1762.23,1592.92,1597.44,963997.03,1626954142.52,1721.48,direct,
2021-02-06,1744.33,1648.46,1721.48,765790.73,1293997066.53,1679.14,direct,
2021-02-07,1694.5,1494.84,1679.14,929611.92,1480130359.34,1614.64,direct,
2021-02-08,1779.25,1565.98,1614.64,1166827.02,1975321767.53,1752.87,direct,
2021-02-09,1824.66,1710.46,1752.87,894749.11,1573102089.36,1772.05,direct,
2021-02-10,1838.93,1680.58,1772.05,959891.91,1691442085.33,1743.0,direct,
2021-02-11,1818.43,1705.77,1743.0,589410.57,1043919213.74,1787.69,direct,
2021-02-12,1867.1,1741.17,1787.69,750882.93,1354431182.3,1844.84,direct,
2021-02-13,1875.55,1765.87,1844.84,522573.28,950428277.14,1817.48,direct,
2021-02-14,1852.06,1786.75,1817.48,423533.72,772757223.36,1802.96,direct,
2021-02-15,1836.25,1661.33,1802.96,919696.6,1616101004.74,1779.4,direct,
2021-02-16,1825.9,1726.66,1779.4,608093.81,1081268304.83,1782.83,direct,
2021-02-17,1856.88,1734.79,1782.83,565395.25,1021991301.71,1851.14,direct,
2021-02-18,1950.03,1850.93,1851.14,624859.46,1193546506.61,1939.61,direct,
2021-02-19,1973.92,1891.32,1939.61,603867.66,1170439220.78,1957.47,direct,
2021-02-20,2038.52,1819.36,1957.47,968370.26,1903964736.95,1915.12,direct,
2021-02-21,1975.88,1885.62,1915.12,413929.05,802733653.42,1935.14,direct,
2021-02-22,1937.57,1446.99,1935.14,1512841.22,2656835977.99,1778.07,direct,
2021-02-23,1781.51,1360.96,1778.07,2496275.35,3829356462.28,1578.19,direct,
2021-02-24,1713.25,1500.94,1578.19,1086421.38,1769603424.19,1625.17,direct,
2021-02-25,1672.23,1459.54,1625.17,803691.98,1278762281.98,1481.88,direct,
2021-02-26,1563.11,1400.53,1481.88,1036113.25,1529005290.71,1446.1,direct,
2021-02-27,1526.93,1426.45,1446.1,585399.45,867562033.49,1460.23,direct,
2021-02-28,1469.7,1294.05,1460.23,1156430.89,1583883301.69,1422.58,direct,
2021-03-01,1572.92,1413.28,1422.58,800017.26,1205752163.07,1571.49,direct,
2021-03-02,1604.11,1456.73,1571.49,590267.55,906296855.1,1488.67,direct,
2021-03-03,1657.11,1477.82,1488.67,577883.81,917252731.88,1568.65,direct,
2021-03-04,1625.02,1505.61,1568.65,657432.27,1023294046.59,1538.37,direct,
2021-03-05,1549.35,1443.48,1538.37,708293.26,1053353462.19,1529.75,direct,
2021-03-06,1670.56,1514.5,1529.75,730694.87,1162129783.44,1651.48,direct,
2021-03-07,1734.52,1631.59,1651.48,449616.47,750450852.99,1726.33,direct,
2021-03-08,1842.9,1666.76,1726.33,687732.85,1199163171.81,1834.48,direct,
2021-03-09,1872.1,1799.85,1834.48,512339.31,939208423.11,1872.1,direct,
2021-03-10,1878.68,1758.02,1872.1,725975.31,1320531852.38,1795.63,direct,
2021-03-11,1846.24,1726.09,1795.63,537879.47,964788578.61,1827.06,direct,
2021-03-12,1842.03,1722.01,1827.06,548553.31,972065732.17,1767.77,direct,
2021-03-13,1943.37,1728.87,1767.77,592461.56,1104075445.89,1921.18,direct,
2021-03-14,1931.77,1837.82,1921.18,367039.57,690832715.33,1848.69,direct,
2021-03-15,1891.24,1735.53,1848.69,781036.17,1403489044.83,1794.83,direct,
2021-03-16,1819.57,1716.2,1794.83,624327.03,1108536467.78,1805.64,direct,
2021-03-17,1838.35,1742.81,1805.64,629261.22,1129204045.53,1823.03,direct,
2021-03-18,1849.5,1759.7,1823.03,406758.7,735764945.49,1776.16,direct,
2021-03-19,1840.66,1734.36,1776.16,324695.13,584649417.76,1809.76,direct,
2021-03-20,1868.98,1800.95,1809.76,272549.21,500262459.33,1805.49,direct,
2021-03-21,1817.33,1747.94,1805.49,343447.52,612374090.22,1783.94,direct,
2021-03-22,1807.19,1657.58,1783.94,496567.29,861293326.85,1682.05,direct,
2021-03-23,1721.69,1652.19,1682.05,392868.19,664606148.51,1668.69,direct,
2021-03-24,1740.3,1546.93,1668.69,773811.51,1282635340.24,1583.24,direct,
2021-03-25,1621.59,1549.08,1583.24,532202.27,845403275.47,1586.98,direct,
2021-03-26,1700.19,1586.8,1586.98,398023.77,653006855.68,1699.89,direct,
2021-03-27,1732.36,1667.18,1699.89,240514.86,409407275.39,1713.94,direct,
2021-03-28,1725.59,1662.16,1713.94,203653.93,345610376.43,1686.74,direct,
2021-03-29,1840.88,1676.68,1686.74,485643.56,861718830.25,1816.48,direct,
2021-03-30,1859.58,1786.81,1816.48,321661.61,588402836.48,1841.4,direct,
2021-03-31,1947.27,1772.26,1841.4,574695.62,1070069136.01,1919.08,direct,
